card_id,figure_id,buy_id,package_id,figure_type,country,mainname,last_name,player_position,birth,weight,height,amount_doubles
130,ECU_02,5,6,shield,Ecuador,Team logo,,,,,,0
131,SEN_08,5,7,player,Senegal,Kalidou,Koulibaly,defense,1991-06-20,89.0,1.95,1
132,ESP_07,5,7,player,Spain,Jordi,Alba,defense,1989-03-21,68.0,1.70,0
133,ECU_08,5,7,player,Ecuador,Piero,Hincapié,defense,2002-01-09,66.0,1.83,0
134,KSA_19,5,7,player,Saudi Arabia,Salem,Al-Dawsari,attack,1991-08-19,72.0,1.71,0
135,POR_17,5,7,player,Portugal,André,Silva,attack,1995-11-06,84.0,1.85,0
136,WAL_11,5,8,player,Wales,Neco,Williams,defense,2001-04-13,72.0,1.83,0
137,WAL_05,5,8,player,Wales,Ethan,Ampadu,defense,2000-09-14,78.0,1.83,1
138,CMR_05,5,8,player,Cameroon,Jean-Charles,Castelletto,defense,1995-01-26,78.0,1.86,0
139,ECU_11,5,8,player,Ecuador,Moisés,Caicedo,middle,2001-11-02,73.0,1.78,1
140,MEX_06,5,8,player,Mexico,Jesús,Gallardo,defense,1994-08-15,73.0,1.76,0
141,URU_06,5,9,player,Uruguay,Martín,Cáceres,defense,1987-04-07,78.0,1.8,0
142,ENG_08,5,9,player,England,Luke,Shaw,defense,1995-07-12,75.0,1.85,0
143,QAT_11,5,9,player,Qatar,Tarek,Salman,defense,1997-12-05,69.0,1.79,1
144,SRB_17,5,9,player,Serbia,Luka,Jović,attack,1997-12-23,85.0,1.82,1
145,ARG_02,5,9,shield,Argentina,Team logo,,,,,,0
146,GER_12,5,10,player,Germany,İlkay,Gündoğan,middle,1990-10-24,79.0,1.80,0
147,CRO_08,5,10,player,Croatia,Dejan,Lovren,defense,1989-07-05,84.0,1.88,0
148,BEL_16,5,10,player,Belgium,Axel,Witsel,middle,1989-01-12,81.0,1.86,1
149,KSA_13,5,10,player,Saudi Arabia,Abdulelah,Al-Malki,middle,1994-10-11,69.0,1.76,0
150,CRC_11,5,10,player,Costa Rica,Kendall,Waston,defense,1988-01-01,97.0,1.95,1
151,POL_02,6,1,shield,Poland,Team logo,,,,,,0
152,QAT_02,6,1,shield,Qatar,Team logo,,,,,,0
153,SEN_19,6,1,player,Senegal,Sadio,Mané,attack,1992-04-10,69.0,1.75,1
154,USA_17,6,1,player,USA,Ricardo,Pepi,attack,2003-01-09,74.0,1.85,0
155,MEX_09,6,1,player,Mexico,Luis,Romo,defense,1995-06-05,84.0,1.82,0
156,CRO_18,6,2,player,Croatia,Andrej,Kramarić,attack,1991-06-19,73.0,1.77,0
157,CRO_15,6,2,player,Croatia,Ivan,Perišić,middle,1989-02-02,80.0,1.86,0
158,TUN_13,6,2,player,Tunisia,Wahbi,Khazri,middle,1991-02-08,76.0,1.82,0
159,WAL_09,6,2,player,Wales,Connor,Roberts,defense,1995-09-23,75.0,1.73,1
160,AUS_03,6,2,player,Australia,Mathew,Ryan,keeper,1992-04-08,82.0,1.84,0
161,KSA_08,6,3,player,Saudi Arabia,Sultan,Al-Ghannam,defense,1994-05-06,67.0,1.73,0
162,SRB_11,6,3,player,Serbia,Darko,Lazović,middle,1990-09-15,66.0,1.81,1
163,CMR_16,6,3,player,Cameroon,Vincent,Aboubakar,attack,1992-01-22,78.0,1.84,0
